Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio,Exact Sequence (Compressed)
147,1189525.0,72,83,18,85.98275605729684,1.22016092E8,53,15.652475842498529,1.0359368199674317,13744.632622463134,0.8217821782178217,18,117872.0,1.2605978170688026,"1220458P-1222205P-1223560P-1226666P-C-1226666P-C-1228025P-1231137P-1228025P-C-1226666P-C-1228417P-C-1225309P-C-1222205P-C-1222205P-C-1221813P-C-1222205P-C-1222205P-C-1219105P-C-1219105P-C-1220852P-1222601P-1225705P-1226105P-1225705P-C-1225705P-C-1222601P-C-1222601P-C-1222601P-C-1221250P-C-1222601P-C-1222601P-C-1222601P-C-1222601P-C-1221250P-C-1220852P-C-1217754P-1214660P-1214266P-1211176P-1208090P-1207700P-1208090P-C-1207700P-C-1207700P-C-1204618P-1202885P-1204618P-C-1201540P-1200197P-1198466P-1195396P-1198466P-C-1198466P-C-1198466P-C-1195396P-C-1194057P-1192720P-1191385P-C-1193114P-1193512P-1193914P-1193512P-C-1193914P-C-1193914P-C-1193914P-C-1190852P-1189525P-1189933P-C-1192993P-1194730P-1192993P-C-1193405P-1192082P-C-1190761P-1192500P-C-1192500P-C-1193821P-1194241P-C-1194241P-C-1197305P-1197729P-1196410P-C-1196840P-1199906P-1198157P-1199476P-C-1199050P-1202120P-C"
148,997354.0,84,94,7,100.22539674441612,1.01943493E8,59,20.396078054371138,1.066227624940597,8585.485230656392,0.9306930693069307,25,118240.0,1.14562755445745,"1024154P-1023412P-1022401P-1021661P-1023412P-C-1023412P-C-1024154P-C-1024154P-C-1025909P-C-1025909P-C-1026657P-1025650P-C-1024900P-1024154P-C-1021392P-1020650P-1018901P-1017892P-1016145P-1015138P-1016145P-C-1016885P-1017629P-1018377P-1017376P-1014626P-C-1017376P-C-1017376P-C-1014626P-C-1011880P-1012877P-C-1011130P-1008388P-1007642P-1008388P-C-1009138P-1007393P-1004657P-1003666P-C-1006400P-C-1007154P-1006165P-1006925P-1005940P-1003210P-1002229P-1004957P-C-1004957P-C-1003210P-C-1002448P-1004193P-C-1001465P-1003210P-C-1002229P-C-1002229P-C-1002997P-1003976P-1001250P-1002020P-1001045P-1002020P-C-1002794P-C-1004545P-1001821P-1003572P-1002794P-C-1002794P-C-1003572P-C-1002601P-1001821P-C-1000072P-1000850P-1002601P-C-1000850P-C-998132P-997354P-999101P-1000072P-C-1001045P-C-1001045P-C-1001045P-C-998325P-1000072P-C-1002794P-C-1004545P-C-1005325P-1003572P-C-1004545P-C-1005325P-C-1008053P-1007273P-1008250P"
149,1175858.0,92,96,5,99.98275605729683,1.19684339E8,50,12.041594578792296,1.0414870422635085,4779.464638242753,0.9504950495049505,10,122132.0,1.0957311590480663,"1194185P-1192528P-1192762P-1191341P-1188265P-1189684P-1189450P-1189684P-C-1189450P-C-1190873P-1193953P-1192528P-C-1190873P-C-1189220P-1187569P-1186146P-C-1183076P-1186146P-C-1184497P-1183076P-C-1182850P-C-1179784P-1180010P-C-1181657P-1181889P-1180474P-C-1178825P-C-1180474P-C-1181889P-C-1180240P-1181657P-C-1183306P-1184725P-C-1181657P-C-1180010P-C-1180240P-C-1180474P-C-1180474P-C-1180712P-1180474P-C-1183540P-C-1183540P-C-1186610P-1188265P-C-1191341P-C-1191341P-C-1191105P-1189684P-C-1191341P-C-1194421P-1193000P-1189922P-1191341P-C-1191105P-C-1191105P-C-1189684P-C-1186610P-C-1188265P-C-1189684P-C-1189684P-C-1188029P-1186610P-C-1186376P-C-1186146P-C-1189220P-C-1187797P-1187569P-C-1188994P-1187569P-C-1185920P-1185698P-1185920P-C-1185698P-C-1182628P-1179562P-C-1179562P-C-1179562P-C-1179344P-1179130P-1180769P-C-1180557P-1178920P-1175858P-1177285P-1177493P-1176068P-1179130P-C-1180769P-C-1182410P-1180769P-C-1180985P"
150,1797696.0,94,87,14,95.98275605729684,1.84363519E8,56,17.029386365926403,1.1032500696241017,12420.140923174526,0.8613861386138614,27,146604.0,1.2807845635866009,"1843538P-1839700P-1841645P-1837809P-C-1837809P-C-1837865P-C-1837925P-C-1836040P-1834093P-1832148P-1834093P-C-1834093P-C-1834093P-C-1836040P-C-1836040P-C-1832210P-C-1836040P-C-1832210P-C-1832210P-C-1834157P-C-1837989P-1837925P-C-1837989P-C-1836106P-1836176P-1832346P-1832276P-1832210P-C-1832210P-C-1832210P-C-1832210P-C-1830329P-1830265P-1826441P-1830265P-C-1828384P-1828322P-1832148P-C-1834033P-C-1833977P-1835920P-1834033P-C-1837865P-C-1835920P-C-1833977P-C-1833925P-1831986P-1828160P-1828210P-C-1830149P-1828210P-C-1826325P-1830149P-C-1826325P-C-1824442P-C-1824442P-C-1824500P-1826441P-C-1828322P-C-1826441P-C-1824500P-C-1820682P-1822621P-1820744P-1820682P-C-1820624P-1820682P-C-1818745P-1814933P-1816868P-1816810P-1814877P-1816756P-1814825P-1812946P-1811069P-1809194P-1809140P-C-1807213P-1805338P-1805288P-1803413P-1803465P-1801540P-1797746P-1797696P-C-1801490P-1797696P-C-1797696P-C-1797696P-C-1797746P-C"
151,302090.0,97,94,7,99.98275605729683,3.1144317E7,51,10.770329614269007,1.0636463410350727,3356.279474038503,0.9306930693069307,13,69994.0,1.1428540472823654,"311314P-C-309920P-310985P-311725P-312052P-311725P-C-312052P-C-310985P-C-311314P-C-312052P-C-313450P-312712P-311645P-311314P-C-312712P-C-312381P-310985P-C-311314P-C-312712P-C-313045P-313380P-312313P-C-312313P-C-312650P-313717P-312313P-C-311978P-311248P-309850P-C-309850P-C-310185P-311585P-C-310185P-C-311585P-C-310522P-C-310185P-C-308789P-308065P-307345P-308065P-C-309461P-310522P-C-310185P-C-310185P-C-308789P-C-309517P-310249P-309186P-308456P-307730P-308789P-C-308789P-C-308456P-C-308125P-C-307397P-306009P-306340P-305618P-307008P-305953P-306673P-307397P-C-308789P-C-308456P-C-307397P-C-307730P-C-307730P-C-306673P-C-306340P-C-305285P-304954P-303572P-304954P-C-303901P-303181P-303514P-302132P-C-303181P-C-303181P-C-304565P-304900P-304186P-303849P-C-303849P-C-303849P-C-303514P-C-303849P-C-303137P-303476P-302090P-303476P-C-303476P-C-302090P-C"
152,730817.0,48,90,11,86.32590180780446,7.477175E7,53,16.0312195418814,0.9591766867533829,8660.684503604403,0.8910891089108911,20,101048.0,1.0764093929121297,"757594P-C-759632P-759961P-757921P-C-757921P-C-758250P-758581P-C-756872P-756541P-C-756541P-C-756541P-C-754505P-753129P-751097P-749396P-747370P-747045P-747370P-C-746000P-744305P-742612P-740921P-741250P-739561P-738205P-738538P-740225P-742249P-741914P-740560P-C-740225P-C-738205P-C-736189P-C-734837P-736853P-736520P-C-736189P-C-734177P-732825P-731146P-C-730817P-C-732825P-C-732825P-C-732496P-734177P-C-735533P-737545P-C-737545P-C-738905P-740921P-C-739232P-C-737218P-735208P-735533P-C-733850P-C-733850P-C-733850P-C-732496P-C-732496P-C-731146P-C-732825P-C-734506P-C-732825P-C-734506P-C-732825P-C-730817P-C-732825P-C-733156P-731810P-733489P-735505P-733489P-C-733489P-C-735505P-C-734161P-735842P-C-737188P-739210P-737864P-C-737864P-C-737864P-C-737864P-C-737864P-C-735842P-C-735842P-C-733824P"
153,197965.0,83,96,5,102.2253967444161,2.0828661E7,58,18.681541692269406,1.0648478827543344,4178.836376296262,0.9504950495049505,23,62050.0,1.1203087099811226,"211588P-212453P-213637P-213089P-213410P-214277P-214600P-215146P-213956P-213089P-C-212545P-C-212545P-C-212868P-212005P-211469P-211144P-211469P-C-211469P-C-211144P-C-209962P-209105P-207929P-207397P-207076P-208250P-207929P-C-207929P-C-207610P-206757P-206225P-206546P-207076P-C-206757P-C-207076P-C-208250P-C-207076P-C-207076P-C-208250P-C-207076P-C-207076P-C-207076P-C-207610P-C-206757P-C-207076P-C-207397P-C-208573P-208045P-207194P-206020P-205173P-205498P-205173P-C-206345P-C-206020P-C-206020P-C-206345P-C-205825P-207001P-206154P-C-205825P-C-204980P-204466P-C-204137P-C-202969P-202644P-202130P-203296P-C-204137P-C-204137P-C-203625P-203117P-201949P-201445P-200612P-199450P-199952P-199121P-197965P-199121P-C-199625P-200458P-201293P-202130P-C-201293P-C-202457P-C-201620P-202130P-C-200968P-201482P-C-200324P-201482P-C-200324P-C-201482P-C"
154,808840.0,74,84,17,86.56854249492375,8.2874034E7,43,13.152946437965905,1.0305778868443303,6708.796137442496,0.8316831683168316,18,104448.0,1.2391472210866352,"832649P-C-832850P-832649P-C-831037P-829226P-829429P-827825P-829429P-C-827417P-825813P-C-825813P-C-827417P-C-827417P-C-829429P-C-827825P-C-825813P-C-823805P-822002P-823604P-825210P-C-825210P-C-823604P-C-825610P-827417P-C-827417P-C-829226P-C-830836P-832450P-830637P-828629P-C-828629P-C-826820P-825210P-C-827216P-827017P-C-825409P-823405P-821602P-819801P-C-819801P-C-818002P-819801P-C-819801P-C-818002P-C-816404P-816605P-815013P-816605P-C-818201P-818002P-C-816404P-C-814810P-C-814810P-C-816404P-C-816404P-C-816205P-816008P-C-814213P-812225P-810434P-C-812225P-C-810434P-C-810241P-812225P-C-810629P-808840P-810629P-C-810629P-C-810629P-C-812225P-C-812225P-C-812225P-C-814213P-C-815813P-C-815813P-C-815813P-C-814213P-C-812617P-C-814213P-C-816008P-C-818002P-C-818201P-C-818201P-C-820201P-C-818201P-C-818201P-C-818201P-C-818402P-818605P"
155,582280.0,58,93,8,95.74011537017755,5.965835E7,59,15.620499351813308,1.0294636061309415,6916.842380211857,0.9207920792079208,22,87320.0,1.1180196152604847,"606356P-605137P-C-605389P-603205P-C-604170P-603205P-C-604170P-C-603205P-C-601025P-600064P-599105P-600322P-C-600584P-601541P-602500P-602242P-601281P-599105P-C-598849P-596677P-594509P-594257P-593050P-594009P-594970P-594009P-C-593765P-593525P-593765P-C-592804P-593050P-C-591845P-590888P-589933P-588730P-589933P-C-587777P-586576P-C-587529P-588730P-C-588730P-C-586576P-C-586330P-587529P-C-588484P-590642P-589441P-587285P-585133P-C-582985P-583229P-583477P-582530P-582280P-583477P-C-583477P-C-583729P-584930P-585188P-C-583985P-586133P-C-586133P-C-586393P-585188P-C-586133P-C-585877P-586826P-C-584676P-C-585877P-C-585625P-C-584426P-583229P-C-583229P-C-583229P-C-584426P-C-586576P-C-588730P-C-590888P-C-589685P-587529P-C-587529P-C-586330P-C-586330P-C-586088P-C-586088P-C-585850P-585616P-C-586577P-585386P"
156,1128205.0,100,88,13,93.56854249492373,1.15636485E8,46,18.788294228055936,1.0632788919877696,10058.029575687155,0.8712871287128713,24,133657.0,1.2203541828495992,"1165160P-1163725P-1163549P-1161940P-C-1161770P-C-1161770P-C-1161940P-C-1161940P-C-1160505P-C-1159072P-C-1159072P-C-1162114P-1159072P-C-1160681P-1157641P-1160681P-C-1157641P-C-1156212P-1154785P-1153178P-1151753P-1150330P-1148725P-1145701P-1147122P-1150148P-1147122P-C-1148545P-1146944P-1143922P-1142501P-1140904P-1142325P-C-1143922P-C-1143922P-C-1142501P-C-1140904P-C-1141082P-1142681P-1144100P-1147122P-C-1147122P-C-1147122P-C-1148545P-C-1148369P-1149970P-1146944P-C-1147122P-C-1144100P-C-1145701P-C-1142681P-C-1142865P-1142681P-C-1142501P-C-1144100P-C-1142501P-C-1142501P-C-1139485P-1137890P-C-1140904P-C-1142501P-C-1139485P-C-1139665P-1138250P-1136837P-1135240P-C-1138250P-C-1136837P-C-1136837P-C-1135426P-1132420P-1133829P-1134017P-1133829P-C-1136837P-C-1136837P-C-1135426P-C-1132420P-C-1132610P-1132420P-C-1132610P-C-1132610P-C-1132610P-C-1132610P-C-1132610P-C-1135616P-C-1132610P-C-1132610P-C-1135616P-C-1134209P-1131205P-C-1128205P"
157,895108.0,15,93,8,93.49747468305827,9.1566414E7,52,4.123105625617661,1.0053491901404115,6145.316902836709,0.9207920792079208,5,98934.0,1.091830840905178,"901337P-900146P-898957P-901625P-901337P-C-901053P-901337P-C-901053P-C-899578P-C-899860P-898669P-897480P-898957P-C-897770P-895108P-895402P-896881P-898064P-900730P-900436P-901625P-C-903106P-C-903400P-903106P-C-902816P-904297P-905490P-905204P-906685P-908168P-909365P-910850P-913536P-913826P-912629P-913826P-C-915317P-915613P-914418P-C-914120P-C-912629P-C-911434P-912629P-C-912925P-C-912629P-C-914120P-C-915613P-C-915613P-C-916810P-916516P-C-915317P-C-915317P-C-912629P-C-914120P-C-912925P-C-914120P-C-914120P-C-914120P-C-911434P-C-908752P-907561P-C-910241P-908752P-C-908752P-C-907265P-908752P-C-908752P-C-908752P-C-911434P-C-909945P-C-909945P-C-907265P-C-907265P-C-906074P-903400P-C-903698P-904885P-C-903698P-C-903400P-C-902213P-903698P-C-903698P-C-904000P-901330P-902513P-899845P-899545P-C-898362P-898064P-C-896881P-C-896881P-C"
158,880373.0,100,90,11,86.91168824543136,9.0519225E7,50,13.416407864998739,0.9656854249492374,7141.987125895716,0.8910891089108911,20,108414.0,1.0837136435541441,"905705P-C-906669P-907444P-C-904930P-902420P-901649P-C-900880P-C-901850P-902617P-900880P-C-900880P-C-898378P-C-897412P-C-897412P-C-896450P-898181P-C-898952P-900685P-C-900685P-C-899914P-902420P-C-904930P-C-906669P-C-907444P-C-908410P-C-907444P-C-906669P-C-904930P-C-903968P-903193P-901458P-902233P-903010P-900500P-C-900500P-C-899725P-898769P-899725P-C-902233P-C-903193P-C-903193P-C-900685P-C-898181P-C-898181P-C-898181P-C-897412P-C-894914P-893185P-892420P-889930P-C-888968P-887245P-C-888205P-890693P-891458P-889733P-C-888968P-C-888010P-886289P-888777P-C-888777P-C-891269P-C-888777P-C-888777P-C-891269P-C-892994P-894721P-892994P-C-892994P-C-895492P-892994P-C-890500P-891269P-C-891269P-C-888777P-C-888777P-C-887056P-888010P-C-886289P-C-885524P-C-884761P-883805P-882853P-881138P-880373P"
159,1587604.0,99,94,7,99.56854249492375,1.61878485E8,48,12.0,1.0592398137757846,6112.321710726786,0.9306930693069307,12,132135.0,1.1381193743761089,"1607668P-1604090P-C-1604090P-C-1604304P-1602625P-1602409P-1602197P-1603880P-1607458P-1609353P-1609565P-1607882P-C-1607882P-C-1605985P-C-1607882P-C-1607668P-C-1609353P-C-1609565P-C-1605985P-C-1604090P-C-1604304P-C-1602409P-C-1602197P-C-1602409P-C-1602197P-C-1602197P-C-1602197P-C-1605773P-1604090P-C-1604304P-C-1605985P-C-1605773P-C-1605773P-C-1607458P-C-1607458P-C-1609145P-1607458P-C-1607252P-C-1607458P-C-1605565P-1603880P-C-1605565P-C-1609145P-C-1610834P-1612729P-1614626P-1614836P-C-1614836P-C-1614836P-C-1611250P-1607668P-C-1607668P-C-1604090P-C-1605985P-C-1604304P-C-1602409P-C-1602409P-C-1600516P-1598625P-1598837P-1598625P-C-1596946P-1593380P-1596946P-C-1596736P-1595057P-1596946P-C-1596946P-C-1597160P-1600730P-1600516P-C-1600730P-C-1602625P-C-1602845P-1599273P-1600948P-1601170P-1600948P-C-1599273P-C-1597600P-1599497P-1597826P-1594260P-1597826P-C-1595929P-1594260P-C-1594490P-1592825P-C-1590928P-1591162P-1593061P-1591400P-1589501P-1587604P-1589265P"
160,379210.0,96,89,12,90.56854249492375,3.9359307E7,55,20.591260281974,1.0176240729766712,7498.9273079765635,0.8811881188118812,26,79268.0,1.154831813153301,"404370P-403520P-C-401938P-400360P-C-399514P-C-398672P-397465P-399041P-398672P-C-398672P-C-397465P-C-398305P-399149P-400360P-C-398786P-399997P-C-401210P-399636P-398066P-C-398066P-C-397709P-396500P-C-396500P-C-396500P-C-395650P-394088P-C-394088P-C-394938P-394585P-393029P-392177P-393733P-392530P-392885P-C-392530P-C-391329P-390976P-C-390625P-389426P-388229P-387880P-C-389077P-387880P-C-386338P-C-385145P-386338P-C-385492P-384650P-C-384301P-C-385145P-C-386685P-385841P-386192P-384650P-C-383112P-C-382274P-C-382274P-C-382274P-C-381089P-379557P-381089P-C-382625P-381793P-380257P-381089P-C-382274P-C-380740P-381578P-C-382765P-381925P-380740P-C-381578P-C-381925P-C-382765P-C-384301P-C-384301P-C-382765P-C-381578P-C-380393P-C-379210P-380393P-C-379210P-C-380048P-C"
161,757760.0,80,87,14,91.254833995939,7.7172843E7,45,7.211102550927978,1.0489061378843563,2730.767612226478,0.8613861386138614,8,105920.0,1.2176956313370113,"765748P-766922P-C-766922P-C-765245P-763570P-764073P-762905P-764578P-766253P-765748P-C-767425P-765748P-C-763570P-C-763570P-C-765748P-C-765748P-C-765748P-C-763570P-C-763570P-C-763570P-C-763570P-C-761897P-760226P-762400P-763570P-C-764744P-C-766922P-C-767425P-C-765748P-C-764073P-C-764073P-C-764073P-C-761897P-C-760226P-C-759725P-758557P-760729P-761234P-C-763412P-761741P-C-761741P-C-761741P-C-761741P-C-763921P-765085P-762905P-C-761234P-C-763412P-C-762250P-C-761741P-C-760581P-762761P-764432P-C-762761P-C-763921P-C-764432P-C-766105P-766618P-768808P-769325P-767133P-765977P-767650P-767133P-C-767650P-C-767650P-C-767133P-C-765460P-763789P-764945P-762761P-C-762250P-C-760072P-758914P-757760P-759425P-760581P-C-758914P-C-758914P-C-760581P-C-762761P-C-762761P-C-763274P-763789P-C-764306P-764825P-765977P-C-767650P-C-768169P-768690P-768169P-C-767650P-C-767650P-C-769325P-C-769844P"
162,177696.0,52,93,8,96.32590180780446,1.8337304E7,52,14.035668847618199,1.0357623850301554,3669.401555233716,0.9207920792079208,17,50000.0,1.1248602246026418,"189725P-190521P-189581P-188645P-C-189581P-C-188785P-189652P-188785P-C-187993P-187130P-186344P-186421P-186500P-186421P-C-187205P-188068P-187282P-187361P-186500P-C-186581P-185805P-184948P-C-184178P-C-183325P-182389P-182306P-181376P-180529P-179605P-C-178685P-177844P-178685P-C-178762P-178685P-C-178685P-C-178610P-178685P-C-179453P-179380P-C-179380P-C-178610P-C-179453P-C-178610P-C-179380P-C-179309P-178537P-178466P-177696P-C-178537P-C-178537P-C-179309P-C-178397P-179240P-180018P-C-180085P-181001P-180932P-180865P-181781P-180865P-C-180932P-C-180085P-C-180085P-C-180932P-C-180865P-C-180865P-C-179953P-179173P-C-179240P-C-178466P-C-179380P-C-180225P-C-180298P-179453P-C-178537P-C-178537P-C-179453P-C-179453P-C-178610P-C-178685P-C-178610P-C-177844P-C-178685P-C-178762P-C-178762P-C-178000P-178922P-179684P-179765P-C-180693P-C"
163,244345.0,99,91,10,102.81118318204301,2.5169972E7,50,7.211102550927978,1.1297932217806925,2064.5692743996788,0.900990099009901,10,65026.0,1.253946323075274,"250929P-250637P-249253P-249545P-250090P-249545P-C-249545P-C-249253P-C-249253P-C-248418P-247585P-C-247301P-C-247850P-248132P-247850P-C-247850P-C-247850P-C-248401P-C-248125P-248954P-249785P-250618P-250900P-251737P-250900P-C-251453P-252845P-253402P-253961P-253402P-C-252008P-253402P-C-252565P-253124P-252289P-252565P-C-253402P-C-252845P-C-252008P-C-252008P-C-250618P-C-250618P-C-252008P-C-251173P-249785P-C-249785P-C-249509P-248125P-C-247572P-247850P-C-248681P-249514P-248132P-C-249514P-C-248132P-C-248418P-C-247585P-C-248418P-C-247040P-248418P-C-248418P-C-247873P-246497P-246789P-248165P-249002P-249300P-248761P-C-248461P-247624P-248165P-C-249545P-C-249253P-C-249800P-248418P-C-247873P-C-248165P-C-249002P-C-248461P-C-249300P-C-250682P-249841P-249545P-C-249841P-C-249841P-C-249300P-C-247922P-248761P-C-247385P-247085P-246789P-C-245417P-245713P-244880P-C-244345P-C"
164,187641.0,95,97,4,99.39696961966992,1.9775506E7,61,21.095023109728988,1.0247110270069064,3948.6694289831776,0.9603960396039604,19,56978.0,1.0669671518319335,"199684P-199841P-199121P-C-199841P-C-198805P-198962P-198085P-C-197928P-198962P-C-198962P-C-199841P-C-200565P-201448P-201605P-200565P-C-200722P-199841P-C-198962P-C-197928P-C-198962P-C-199841P-C-198805P-C-198650P-C-199529P-C-200410P-201140P-202178P-201293P-200257P-200106P-199957P-C-200106P-C-199957P-C-199225P-198346P-C-198346P-C-197320P-196298P-196153P-196010P-195137P-194125P-193117P-C-193986P-193849P-193117P-C-193986P-C-193849P-C-194585P-193581P-194585P-C-194720P-195730P-C-196744P-196605P-196468P-195458P-194452P-195325P-195458P-C-195593P-C-195593P-C-196333P-196200P-195194P-194321P-C-193581P-C-194452P-C-194452P-C-193450P-194192P-193321P-193194P-192452P-191714P-190720P-189730P-188996P-189730P-C-188744P-C-187885P-188621P-C-188621P-C-187641P-188621P-C-188621P-C-187641P-C-188381P-188264P"
165,68485.0,97,101,0,110.46803743153538,7248519.0,66,5.0,1.0937429448666869,1479.8966890210522,1.0,6,36466.0,1.0937429448666869,"70920P-71570P-71437P-71825P-72346P-71956P-72346P-C-71956P-C-71437P-C-70789P-70920P-C-70274P-69632P-69761P-70145P-70274P-C-70274P-C-70789P-C-71177P-71825P-C-72477P-C-72869P-73265P-73394P-73921P-73525P-C-73000P-C-73394P-C-73792P-74450P-74852P-74194P-74321P-74450P-C-74321P-C-73792P-C-73665P-73792P-C-73665P-C-73540P-72890P-72769P-73417P-72769P-C-72244P-71602P-70964P-70849P-70964P-C-70330P-70736P-70625P-70516P-71037P-71560P-72194P-72721P-72832P-72945P-72832P-C-72305P-71669P-71037P-C-71669P-C-72085P-C-72612P-73141P-72721P-C-72305P-C-72305P-C-72305P-C-72194P-C-72194P-C-71780P-71893P-72008P-71370P-70849P-C-70964P-C-70964P-C-71370P-C-71485P-71081P-70681P-70285P-69649P-69257P-69893P-69380P-68994P-69632P-C-69505P-68994P-C-68485P-69121P-69250P-68872P"
166,742041.0,84,88,13,88.0832611206852,7.6083412E7,51,17.204650534085253,1.0009461490986953,7254.4468163948095,0.8712871287128713,21,102312.0,1.1488131938519117,"771677P-C-771677P-C-769309P-C-769309P-C-770057P-767693P-765333P-762977P-C-762977P-C-762176P-761426P-C-759076P-757529P-755984P-758330P-756785P-758330P-C-759076P-C-760625P-758277P-756730P-755984P-C-755242P-C-755242P-C-754504P-752162P-C-752162P-C-752900P-754441P-C-753701P-752900P-C-752900P-C-752162P-C-752965P-753701P-C-753701P-C-756045P-C-756850P-755309P-756116P-757657P-755309P-C-753770P-C-751428P-C-751428P-C-752162P-C-753701P-C-752162P-C-752162P-C-752965P-C-753770P-C-751428P-C-749090P-749893P-751428P-C-751428P-C-749090P-C-747557P-746026P-C-746026P-C-748360P-746829P-744497P-746026P-C-745225P-744426P-743629P-744365P-742834P-743629P-C-743629P-C-742834P-C-742834P-C-742041P-743572P-744365P-C-744365P-C-746693P-748228P-749765P-748228P-C-748228P-C-748970P-748228P-C-747433P-746693P-C-745957P-746756P-747557P-C-749893P-C"
167,652154.0,100,91,10,83.8406204335659,6.7758092E7,58,21.02379604162864,0.921325499269955,9961.954846154833,0.900990099009901,29,86128.0,1.0225700596292906,"684692P-C-683545P-C-683593P-C-683545P-C-685885P-C-687034P-685885P-C-685885P-C-685885P-C-683545P-C-683593P-C-682450P-683645P-C-682450P-C-681309P-C-678977P-C-678977P-C-678977P-C-680170P-680116P-C-678925P-677736P-C-677690P-677648P-678793P-677610P-676465P-C-674141P-675322P-676505P-C-678833P-676505P-C-674181P-673042P-671861P-C-670682P-668368P-669505P-670644P-669469P-C-669437P-669409P-C-667097P-668266P-667125P-C-665986P-668296P-C-665986P-C-664817P-663680P-662513P-C-663650P-C-664789P-663650P-C-663650P-C-663650P-C-664817P-C-664849P-C-664885P-662581P-C-660281P-661412P-662545P-662513P-C-663680P-C-662545P-C-662513P-C-660213P-657917P-C-655625P-654496P-654466P-C-655597P-653309P-C-652180P-653337P-652180P-C-652154P"
168,789205.0,69,89,12,87.91168824543136,8.0237916E7,41,9.433981132056603,0.9877717780385546,2970.924031050723,0.8811881188118812,10,98345.0,1.1209544896842025,"800666P-800209P-798480P-796298P-795028P-C-794573P-796753P-795485P-797210P-796753P-C-796753P-C-798937P-801125P-799857P-799396P-800666P-C-798937P-C-797210P-C-796753P-C-794573P-C-795028P-C-796298P-C-796298P-C-794573P-C-795028P-C-793305P-795028P-C-792850P-794120P-792850P-C-791584P-793762P-792041P-792500P-C-792961P-794682P-796405P-796868P-795610P-C-797800P-C-797800P-C-796077P-794825P-796546P-C-796546P-C-797800P-C-797800P-C-798269P-C-798269P-C-798269P-C-796077P-C-796077P-C-797333P-796077P-C-794356P-793106P-C-793106P-C-794356P-C-792637P-C-791389P-C-789205P-790453P-792170P-790453P-C-791705P-C-792170P-C-794356P-C-792637P-C-792637P-C-792637P-C-793106P-C-792637P-C-790453P-C-790453P-C-790453P-C-790920P-789205P-C-789674P-790920P-C-790920P-C-789674P-C-791389P-C-792637P-C-792170P-C-792170P-C-792637P-C-790453P-C-790453P-C-790453P-C-791705P-C-790453P-C"
169,672340.0,100,84,17,87.98275605729684,6.9706147E7,63,15.033296378372908,1.0474137625868671,6868.359059597264,0.8316831683168316,22,94396.0,1.259390357396114,"696698P-694820P-C-696250P-C-696250P-C-698128P-698353P-700237P-C-700466P-699040P-700930P-699273P-699508P-698090P-696676P-698329P-699984P-C-698570P-C-698570P-C-700225P-698329P-C-696437P-694786P-C-694786P-C-694786P-C-695025P-693137P-C-693137P-C-695025P-C-695266P-C-693860P-694105P-692705P-C-691309P-C-689666P-689417P-690813P-C-688925P-688682P-690568P-C-688682P-C-690568P-C-690325P-691729P-691490P-690084P-C-690084P-C-688682P-C-687284P-685645P-685402P-C-685402P-C-685161P-683524P-684922P-C-686324P-C-688202P-689845P-691253P-689608P-691018P-689373P-C-689373P-C-687497P-685625P-C-683986P-682580P-680714P-682580P-C-682813P-C-680945P-680714P-C-680945P-C-679312P-677681P-677914P-679312P-C-679312P-C-677450P-676052P-C-674194P-672340P"
170,203009.0,100,94,7,98.15432893255064,2.1249431E7,60,20.223748416156685,1.0441949886441557,3963.90994387272,0.9306930693069307,24,44789.0,1.1219541899261674,"219218P-219785P-219218P-C-217908P-217730P-216424P-216602P-216424P-C-217730P-C-217730P-C-217556P-217386P-C-216817P-215513P-C-214778P-214045P-214778P-C-214778P-C-215345P-214778P-C-214213P-214385P-214213P-C-214045P-C-213314P-212020P-211858P-210568P-210730P-C-211293P-C-211133P-C-209845P-209124P-C-209124P-C-208561P-208721P-208561P-C-208000P-208561P-C-208561P-C-208561P-C-208721P-C-209444P-209282P-208721P-C-208561P-C-208721P-C-208885P-209444P-C-210169P-208885P-C-209053P-208328P-207773P-208328P-C-207605P-206884P-207441P-208000P-C-208561P-C-209124P-C-208405P-209689P-209537P-210106P-209389P-C-208674P-208105P-207538P-208105P-C-208820P-208674P-C-208532P-207961P-207250P-C-207392P-C-207392P-C-207392P-C-207538P-C-207392P-C-206681P-206825P-205549P-205697P-205849P-205136P-204577P-C-204425P-C-203716P-203009P"
