Run,BestObjectiveValue,BestSolutionX,BestSolutionY,NumberAcceptedMoves,NumberRejectedMoves,BestIteration,TotalIterations,DistinctPointsVisited,ExplorationExploitationRatio,StandardDeviationFromOptimum,ConvergenceRelation,GeneralDiversityMeasure,Count_S,Count_M,Count_I,Count_P,Count_L,Count_X,Count_A,Count_U,Count_J,Count_C,MeanObjectiveValue,StdObjectiveValue,MeanDeviationFromOptimum,StdDeviationFromOptimum,FinalEntropy,MeanEntropy,StdEntropy,BestObjectiveValue_inverted,ConvergenceRelation_inverted,StandardDeviationFromOptimum_inverted,MeanObjectiveValue_inverted,MeanDeviationFromOptimum_inverted,BestObjectiveValue_inverted_z,ConvergenceRelation_inverted_z,StandardDeviationFromOptimum_inverted_z,MeanObjectiveValue_inverted_z,MeanDeviationFromOptimum_inverted_z,NumberAcceptedMoves_z,DistinctPointsVisited_z,CompositeScore
74,0.0,0,0,224,276,18,500,92,0.4107142857142857,16.611384525805185,0.036,5.226568818450923,0,0,0,61,26,0,1,0,11,55,10.522954091816366,16.611384525805185,10.522954091816366,16.611384525805185,3.0594231113578267,3.1093768071544443,0.2655410109480407,-0.0,-0.036,-16.611384525805185,-10.522954091816366,-10.522954091816366,,1.4873684271091885,2.327349875525932,1.8094910546985816,1.8094910546985816,-0.49282881376290555,-0.7013298183384922,6.239541779930886
158,0.0,0,0,247,253,18,500,87,0.3522267206477733,20.537012959997817,0.036,6.281405253365525,0,0,0,53,25,0,1,0,12,51,12.860279441117765,20.537012959997817,12.860279441117765,20.537012959997817,2.8685884592774227,2.9749546952980173,0.30978345266405655,-0.0,-0.036,-20.537012959997817,-12.860279441117765,-12.860279441117765,,1.4873684271091885,1.6140183936416204,1.269126140556834,1.269126140556834,1.6278564465826193,-1.1217913401241588,6.145704208322937
982,0.0,0,0,241,259,19,500,74,0.3070539419087137,18.327047057885153,0.038,4.670965454320898,0,0,0,43,24,0,1,0,9,45,10.097804391217565,18.327047057885153,10.097804391217565,18.327047057885153,2.784006049517214,2.722644457844393,0.2246848767735733,-0.0,-0.038,-18.327047057885153,-10.097804391217565,-10.097804391217565,,1.4458820824949636,2.015594416001986,1.907781171446824,1.907781171446824,1.074634204753352,-2.214991296766892,6.136681749377058
711,0.0,0,0,225,275,1,500,91,0.40444444444444444,19.027805397823922,0.002,5.558145186672562,0,0,0,61,22,0,1,0,9,51,11.405189620758483,19.027805397823922,11.405189620758483,19.027805397823922,2.816555682066249,3.0322733891476035,0.2950069601503135,-0.0,-0.002,-19.027805397823922,-11.405189620758483,-11.405189620758483,,2.1926362855510098,1.8882586292735815,1.6055275260472985,1.6055275260472985,-0.400625106791361,-0.7854221226956255,6.105902737432201
133,0.0,0,0,243,257,7,500,103,0.42386831275720166,24.273051705942667,0.014,7.26799893227517,0,0,0,65,30,0,1,0,10,58,14.622754491017965,24.273051705942667,14.622754491017965,24.273051705942667,3.10424933561256,2.953367774952372,0.2354437536709764,-0.0,-0.014,-24.273051705942667,-14.622754491017965,-14.622754491017965,,1.9437182178656611,0.9351375215220584,0.861660539201443,0.861660539201443,1.259041618696441,0.22368552958997434,6.084903966077021
517,0.0,0,0,236,264,20,500,94,0.3983050847457627,20.769343466402262,0.04,6.0528005864518475,0,0,0,61,27,0,1,0,10,54,12.107784431137725,20.769343466402262,12.107784431137725,20.769343466402262,2.5803022344545212,2.663028653046116,0.2349596112634928,-0.0,-0.04,-20.769343466402262,-12.107784431137725,-12.107784431137725,,1.4043957378807386,1.5718012895018345,1.4430950326417518,1.4430950326417518,0.6136156698956291,-0.5331452096242255,5.94285755293748
278,0.0,0,0,233,267,32,500,86,0.36909871244635195,17.471719293071196,0.064,5.002669312074454,0,0,0,57,23,0,1,0,10,50,10.395209580838323,17.471719293071196,10.395209580838323,17.471719293071196,2.66752146554213,2.9786940525516417,0.45061782223532204,-0.0,-0.064,-17.471719293071196,-10.395209580838323,-10.395209580838323,,0.9065596025100408,2.1710172310237086,1.839024235317772,1.839024235317772,0.33700454898099547,-1.2058836444812921,5.8867462086689955
58,0.0,0,0,232,268,21,500,89,0.38362068965517243,18.813271790450823,0.042,5.583591300433066,0,0,0,63,20,0,1,0,10,47,11.273453093812375,18.813271790450823,11.273453093812375,18.813271790450823,2.7297086886678876,2.9050140286531394,0.292913505637225,-0.0,-0.042,-18.813271790450823,-11.273453093812375,-11.273453093812375,,1.3629093932665137,1.9272418337787511,1.6359836185608385,1.6359836185608385,0.2448008420094509,-0.9536067314098922,5.853312574766501
483,0.0,0,0,241,259,51,500,95,0.3941908713692946,19.333436368779612,0.102,5.544957988215186,0,0,0,58,31,0,1,0,9,51,11.307385229540918,19.333436368779612,11.307385229540918,19.333436368779612,2.7268125091926354,2.9856405194201505,0.3928326470937983,-0.0,-0.102,-19.333436368779612,-11.307385229540918,-11.307385229540918,,0.11831905483976947,1.8327219942923847,1.6281388674588662,1.6281388674588662,1.074634204753352,-0.44905290526709224,5.8329000835361455
89,0.0,0,0,244,256,40,500,87,0.35655737704918034,19.685473083634335,0.08,5.6987302839430924,0,0,0,58,23,0,1,0,9,48,11.574850299401197,19.685473083634335,11.574850299401197,19.685473083634335,2.9961929568475973,3.0051896692321023,0.26454529030087376,-0.0,-0.08,-19.685473083634335,-11.574850299401197,-11.574850299401197,,0.5746688455962422,1.7687529061082528,1.5663037705374365,1.5663037705374365,1.3512453256679855,-1.1217913401241588,5.705483278323194
646,0.0,0,0,255,245,43,500,95,0.37254901960784315,22.68872784888811,0.086,6.516583599268529,0,0,0,64,24,0,1,0,9,58,13.922155688622755,22.68872784888811,13.922155688622755,22.68872784888811,2.791111799341926,3.0290117830047136,0.2989999533031133,-0.0,-0.086,-22.68872784888811,-13.922155688622755,-13.922155688622755,,0.450209811753568,1.2230272450867463,1.0236315766598145,1.0236315766598145,2.365486102354976,-0.44905290526709224,5.6369334072478265
667,0.0,0,0,235,265,5,500,95,0.40425531914893614,22.354573698266183,0.01,6.57353157955546,0,0,0,66,21,0,1,0,12,50,13.491017964071856,22.354573698266183,13.491017964071856,22.354573698266183,2.883375934510131,3.0079780012791244,0.2555689302647307,-0.0,-0.01,-22.354573698266183,-13.491017964071856,-13.491017964071856,,2.026690907094111,1.2837468672916317,1.123306061249582,1.123306061249582,0.5214119629240845,-0.44905290526709224,5.629408954541899
